title,description,pubDate,link,source
통영 앞바다 고수온 경보…굴·멍게 양식장 폐사 우려,경상남도 통영시 해역 수온이 28도를 넘어서며 고수온 경보가 발효됐다,2023-08-03,https://news.example.com/a/1001,연합뉴스
거제 연안 고수온 특보 발효 양식 어류 집단 폐사,경남 거제시 일대 가두리 양식장에서 고수온으로 우럭 폐사가 잇따랐다,2023-08-07,https://news.example.com/a/1002,뉴스1
여수 가막만 고수온에 적조까지…어민 시름,전라남도 여수시 가막만 수온이 29도까지 올라 적조가 겹쳤다,2023-08-10,https://news.example.com/a/1003,KBS
완도 전복 양식장 고수온 폐사 잇따라,전남 완도군 청산도 인근 전복 양식장이 고수온 피해를 입었다,2023-08-12,https://news.example.com/a/1004,MBC
고흥 득량만 수온 30도 돌파 고수온 주의보,전남 고흥군 득량만 표층 수온이 30도를 기록했다,2023-08-15,https://news.example.com/a/1005,연합뉴스
제주 동부 연안 고수온에 양식 넙치 폐사,제주특별자치도 제주시 구좌 연안에서 넙치 폐사가 발생했다,2023-09-01,https://news.example.com/a/1006,제주일보
포항 영일만 고수온 현상 지속 동해안 이례적,경상북도 포항시 영일만 수온이 평년보다 4도 높았다,2023-08-20,https://news.example.com/a/1007,경북일보
남해군 강진만 고수온 특보…양식장 산소공급 비상,경남 남해군 강진만 일대 고수온 특보가 내려졌다,2024-07-28,https://news.example.com/a/1008,뉴스1
통영 한산도 해역 고수온 멍게 출하 차질,경남 통영시 한산면 해역의 고수온으로 멍게 출하가 미뤄졌다,2024-08-02,https://news.example.com/a/1009,연합뉴스
부산 기장 연안 고수온…멸치 어획 차질,부산광역시 기장군 앞바다 수온 상승으로 멸치잡이가 줄었다,2024-08-05,https://news.example.com/a/1010,부산일보
거제 외포 해역 고수온 경보 재발령,경남 거제시 외포리 해역에 고수온 경보가 다시 내려졌다,2024-08-08,https://news.example.com/a/1011,KBS
여수 돌산 양식장 고수온 피해 신고 접수,전남 여수시 돌산읍 양식장에서 고수온 피해가 접수됐다,2024-08-09,https://news.example.com/a/1012,MBC
울산 앞바다 고수온 특보 양식 우럭 폐사,울산광역시 울주군 연안 양식장에서 우럭이 폐사했다,2024-08-11,https://news.example.com/a/1013,울산매일
완도 고금도 해역 고수온 사흘째 지속,전남 완도군 고금면 해역 수온이 사흘째 28도를 웃돌았다,2024-08-13,https://news.example.com/a/1014,연합뉴스
서귀포 성산 해역 고수온…양식 어가 비상,제주특별자치도 서귀포시 성산 연안 고수온으로 어가가 비상에 걸렸다,2024-08-16,https://news.example.com/a/1015,제주일보
신안 임자도 해역 고수온·적조 동시 발생,전라남도 신안군 임자도 해역에서 적조와 고수온이 겹쳤다,2024-08-18,https://news.example.com/a/1016,뉴스1
사천 삼천포 연안 고수온 주의보,경남 사천시 삼천포항 인근 수온이 28도를 넘었다,2024-08-20,https://news.example.com/a/1017,경남신문
통영 욕지도 고수온 참돔 양식 폐사,경남 통영시 욕지면 해역에서 참돔이 고수온으로 폐사했다,2024-08-22,https://news.example.com/a/1018,KBS
고흥 나로도 해역 고수온 경보,전남 고흥군 봉래면 나로도 해역에 고수온 경보가 발령됐다,2024-09-02,https://news.example.com/a/1019,MBC
영덕 강구항 앞바다 고수온 현상,경상북도 영덕군 강구면 앞바다 수온이 크게 올랐다,2024-08-25,https://news.example.com/a/1020,경북일보
여수 화정면 해역 고수온…홍합 폐사,전남 여수시 화정면 해역에서 홍합 폐사가 보고됐다,2025-07-30,https://news.example.com/a/1021,연합뉴스
거제 장목 해역 고수온 특보,경남 거제시 장목면 해역에 고수온 특보가 발효됐다,2025-08-01,https://news.example.com/a/1022,뉴스1
통영 사량도 고수온 우럭 집단 폐사,경남 통영시 사량면 해역에서 우럭이 집단 폐사했다,2025-08-03,https://news.example.com/a/1023,KBS
제주 한림 연안 고수온 닷새째 지속,제주특별자치도 제주시 한림읍 연안 수온이 닷새째 고수온을 유지했다,2025-08-04,https://news.example.com/a/1024,제주일보
태안 안면도 해역 고수온 주의보,충청남도 태안군 안면읍 해역에 고수온 주의보가 내려졌다,2025-08-06,https://news.example.com/a/1025,대전일보
완도 노화도 전복 고수온 폐사,전남 완도군 노화읍 전복 양식장이 고수온 피해를 입었다,2025-08-08,https://news.example.com/a/1026,MBC
포항 구룡포 앞바다 고수온 경보,경상북도 포항시 남구 구룡포읍 앞바다에 고수온 경보가 발령됐다,2025-08-10,https://news.example.com/a/1027,경북일보
남해군 미조항 해역 고수온…멸치 조업 중단,경남 남해군 미조면 해역 고수온으로 멸치 조업이 중단됐다,2025-08-12,https://news.example.com/a/1028,연합뉴스
서귀포 대정 해역 고수온 양식 광어 폐사,제주특별자치도 서귀포시 대정읍 해역에서 광어가 폐사했다,2025-08-14,https://news.example.com/a/1029,제주일보
여수 금오도 고수온 사흘 연속 29도,전남 여수시 남면 금오도 해역 수온이 사흘 연속 29도를 기록했다,2025-08-16,https://news.example.com/a/1030,KBS
