date,mean_sst,min_sst,max_sst,valid_cells
2025-07-01 12:00:00,25.19247451044903,6.816739082336426,33.315818786621094,7156298
2025-07-02 12:00:00,25.297760412356812,5.340721130371094,33.451908111572266,7156298
2025-07-03 12:00:00,25.498618793002855,6.432344436645508,32.68022155761719,7156298
2025-07-04 12:00:00,25.497595718249187,5.348878383636475,32.84264373779297,7156298
2025-07-05 12:00:00,25.85593203297487,1.8754146099090576,34.58795928955078,7156298
2025-07-06 12:00:00,25.85762917892057,3.166196584701538,34.80552291870117,7156298
2025-07-07 12:00:00,25.942854270828942,6.213130474090576,34.78889083862305,7156298
2025-07-08 12:00:00,25.929509264935337,5.801509380340576,34.32872009277344,7156298
2025-07-09 12:00:00,25.772645536223344,5.729675769805908,34.80001449584961,7156298
2025-07-10 12:00:00,25.632617581419176,5.116610050201416,33.95502471923828,7156298
2025-07-11 12:00:00,25.47744336204812,4.548763275146484,34.108665466308594,7156298
2025-07-12 12:00:00,25.618168597702493,2.6103131771087646,34.07965850830078,7156298
2025-07-13 12:00:00,25.596282182528412,3.2260289192199707,34.06354522705078,7156298
2025-07-14 12:00:00,25.520426289251663,2.760573387145996,34.751869201660156,7156298
2025-07-15 12:00:00,25.47452498321291,3.313244104385376,34.83909606933594,7156298
2025-07-16 12:00:00,25.549058336610216,1.352900743484497,34.569419860839844,7156297
2025-07-17 12:00:00,25.549770991968472,6.325833797454834,33.91420364379883,7156298
2025-07-18 12:00:00,25.618917062891832,6.380831241607666,33.762413024902344,7156298
2025-07-19 12:00:00,25.793053247241307,6.410602569580078,34.89603042602539,7156298
2025-07-20 12:00:00,26.089498116037003,7.210785388946533,34.48634719848633,7156298
2025-07-21 12:00:00,26.207882600660582,8.043353080749512,34.37873458862305,7156298
2025-07-22 12:00:00,26.309021237639826,6.885321617126465,34.29322052001953,7156298
2025-07-23 12:00:00,26.447244482903642,8.166149139404297,34.22724914550781,7156298
2025-07-24 12:00:00,26.55349669085605,6.454504013061523,33.085506439208984,7156298
2025-07-25 12:00:00,26.61544261358143,6.536409854888916,33.53020095825195,7156298
2025-07-26 12:00:00,26.662611381854884,9.331722259521484,33.53020095825195,7156298
2025-07-27 12:00:00,26.646869568487254,4.595365524291992,33.53020095825195,7156298
2025-07-28 12:00:00,26.60092322481337,8.549418449401855,33.53020095825195,7156298
2025-07-29 12:00:00,26.511226501145636,9.174295425415039,33.53020095825195,7156298
2025-07-30 12:00:00,26.497094540973187,10.568260192871094,33.62294006347656,7156298
2025-07-31 12:00:00,26.580135945671355,8.268013000488281,33.53020095825195,7156298
2025-08-01 12:00:00,26.70953496438038,9.84632682800293,33.53020095825195,7156298
2025-08-02 12:00:00,26.863502998434946,8.493602752685547,34.206077575683594,7156298
2025-08-03 12:00:00,26.911343415256685,10.843040466308594,33.34732437133789,7156298
2025-08-04 12:00:00,26.88759265313561,10.79055118560791,32.75254821777344,7156298
2025-08-05 12:00:00,27.00790333618738,10.185129165649414,32.93688201904297,7156298
2025-08-06 12:00:00,27.133089864661443,8.412505149841309,34.58724594116211,7156298
2025-08-07 12:00:00,27.03621950583533,9.855079650878906,33.93748474121094,7156298
2025-08-08 12:00:00,26.96183821697391,10.488934516906738,34.8567008972168,7156298
2025-08-09 12:00:00,26.98790721416981,9.3604154586792,34.8567008972168,7156298
2025-08-10 12:00:00,26.90262255331519,10.228607177734375,33.6518440246582,7156298
2025-08-11 12:00:00,26.95342655102878,9.999499320983887,34.68968200683594,7156298
2025-08-12 12:00:00,26.953418067130603,9.999499320983887,33.33876037597656,7156298
2025-08-13 12:00:00,26.941871990575734,8.312546730041504,33.54804229736328,7156298
2025-08-14 12:00:00,27.012335993676214,10.745806694030762,32.91954040527344,7156298
2025-08-15 12:00:00,27.189017892927804,8.107287406921387,32.51728057861328,7156298
2025-08-16 12:00:00,27.378600578156846,10.186383247375488,32.58028793334961,7156298
2025-08-17 12:00:00,27.26033547538464,9.220515251159668,33.16197967529297,7156298
2025-08-18 12:00:00,27.16291257159614,7.1097636222839355,32.32471466064453,7156298
2025-08-19 12:00:00,27.48204402752741,6.849677085876465,32.832454681396484,7156298
2025-08-20 12:00:00,27.482083792797138,7.229351043701172,32.65983963012695,7156298
2025-08-21 12:00:00,27.57788685849093,2.74733304977417,33.44649887084961,7156298
2025-08-22 12:00:00,27.604299526002904,7.0339155197143555,34.29933166503906,7156298
2025-08-23 12:00:00,27.662237762147203,8.032864570617676,33.388877868652344,7156298
2025-08-24 12:00:00,27.74808370517038,8.06689739227295,34.17378234863281,7156298
2025-08-25 12:00:00,27.69965980502779,6.607336521148682,33.468204498291016,7156298
2025-08-26 12:00:00,27.624796388908297,6.607336521148682,32.60810089111328,7156298
2025-08-27 12:00:00,27.419999108076897,4.518122673034668,32.58805465698242,7156297
2025-08-28 12:00:00,27.206352832549964,5.37605619430542,32.35295486450195,7156298
2025-08-29 12:00:00,27.224411822491195,3.2788913249969482,33.888885498046875,7156298
2025-08-30 12:00:00,27.251537039889325,1.2753772735595703,33.24878692626953,7156298
2025-08-31 12:00:00,27.33525809556027,2.850942611694336,33.917850494384766,7156298
